titel;auteur;serie;jaar_van_uitgave;originele_titel;taal;cover_url
22-11-1963;Stephen King;;2011;22-11-1963;Nederlands;https://stephenkingcovers.com/wp-content/uploads/2021/04/1122-2011-Netherlands-Luitingh-Sijthoff2-min.jpg
4 SEIZOENEN;Stephen King;(DE ONTSNAPPING/DE LEERLING/HET LIJK/DE ADEMHALINGSMETHODE);1982;Different Seasons;Nederlands;https://stephenkingcovers.com/wp-content/uploads/2021/02/DS-1989-Netherlands-Luitingh-Sijthoff-min.jpg
4 X STEPHEN KING;Stephen King;(RAZERNIJ/DE MARATHON/WERK IN UITVOERING/VLUCHT NAAR DE TOP);1986;The Bachman Books ;Nederlands;https://media.s-bol.com/OEmg38pRGQYL/Y6N5PRY/537x840.jpg
AARDEDONKER ZONDER STERREN;Stephen King;(1922/GROTE TRUCKER/DE VERLENGING/EEN GOED HUWELIJK);2010;Full Dark, No Stars ;Nederlands;https://media.s-bol.com/qoZOEZ0LL4kp/1nn980/778x1200.jpg
ACHTBAAN;Stephen King;;2001;Riding the Bullet ;Nederlands;https://boekenfan.nl/wp-content/uploads/2021/11/Achtbaan-Stephen-King.jpg
ALLES IS EVENTUEEL;Stephen King;;2002;Everything is Eventual ;Nederlands;https://media.s-bol.com/grV7N3yAWZY/771x1200.jpg
ALS HET BLOEDT;Stephen King;;2020;If it bleeds ;Nederlands;https://media.s-bol.com/jm2N64JwPP75/rkrkgB6/781x1200.jpg
BEZETEN STAD;Stephen King;;1982;Salem's Lot ;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/964/1516/cms_visual_1486220.jpg_1601989743000_964x1516_0.8_p-5b37625743.webp
BILLY SUMMERS;Stephen King;;2021;Billy Summers ;Nederlands;https://media.s-bol.com/NmxypwVPZ0l8/W6Ek2zJ/547x840.jpg
CARRIE;Stephen King;;1975;Carrie ;Nederlands;https://boekenfan.nl/wp-content/uploads/2021/11/Carrie-Stephen-King.jpg
CHRISTINE;Stephen King;;1983;Christine ;Nederlands;https://media.s-bol.com/xEGw98XXNn3q/1woxP8j/772x1200.jpg
CUJO;Stephen King;;1982;Cujo ;Nederlands;https://media.s-bol.com/On7zJ5q1121E/gJqBOPY/679x1200.jpg
DE BALLADE VAN DE FLEXIBELE KOGEL;Stephen King;;1984;The Ballad of the Flexible Bullet;Nederlands;https://s.boekenplatform.nl/bk/15/5d/73/de-ballade-van-de-flexibele-kogel.jpg
DE BEPROEVING;Stephen King;;1984;The Stand ;Nederlands;https://media.s-bol.com/JKwznMQJ91PK/gJq1Mw9/546x840.jpg
DE BUITENSTAANDER;Stephen King;;2018;The Outsider;Nederlands;https://media.s-bol.com/Z6OqoNKVnlpg/550x839.jpg
DE COLORADO KID;Stephen King;;2005;The Colorado Kid ;Nederlands;https://media.s-bol.com/WEmvAXjxyzqJ/rk5nVBw/773x1200.jpg
DE DONKERE TOREN;Stephen King;DONKERE TOREN;2005;The Dark Tower 7: The Dark Tower ;Nederlands;https://www.readshop.nl/images/active/carrousel/fullsize/9789021026381_front.jpg
DE DUISTERE KANT;Stephen King;;1989;The Dark Half ;Nederlands;https://assets.lastdodo.com/image/ld_large/plain/assets/catalog/assets/2014/3/5/6/b/2/pdf_6b2cb94e-a4a4-11e3-92e2-829b43c01455.jpg
DE EERLIJKE VINDER;Stephen King;MR. MERCEDES;2015;Finders Keepers ;Nederlands;https://media.s-bol.com/xkkonZBLLn19/782x1200.jpg
DE GLOED;Stephen King;;1988;The Tommyknockers ;Nederlands;https://assets.lastdodo.com/image/ld_large/plain/assets/catalog/assets/2024/1/30/e/4/f/pdf_e4f879c6-bf5a-11ee-9451-8166e49c76cc.jpg
DE LEERLING;Stephen King;;1982;Apt Pupil;Nederlands;https://media.s-bol.com/gn7VRBXEBGlD/515x840.jpg
DE MARATHON;Stephen King;;1986;The Long Walk ;Nederlands;https://media.s-bol.com/WQ3y1Y2VxNJW/771x1200.jpg
DE NOODZAAK;Stephen King;;1992;Needful Things;Nederlands;https://www.deslegte.com/images/cached/resample/webp/data/uploads/1181/1800/cms_visual_1527631.jpg_1608130273000_1181x1800_0.8_p-b01caee2cd.webp
DE OGEN VAN DE DRAAK;Stephen King;;1987;The Eyes of the Dragon ;Nederlands;https://www.sassafrass-store.com/files/images/23435.jpg
DE ONTVOERING;Stephen King;;2007;Blaze ;Nederlands;https://api.bruna.nl/images/active/carrousel/fullsize/9789021037370_front.jpg
